,County,Teen Births,Teen Birth Rate,year
72,Scott,348.0,63.226744186,2014
73,Shelby,464.0,45.441190873,2014
74,Spencer,164.0,32.062561095,2014
75,Starke,298.0,49.849447976,2014
76,Steuben,359.0,40.143128704,2014
77,Sullivan,219.0,49.76141786,2014
78,Switzerland,90.0,37.958667229,2014
79,Tippecanoe,1407.0,25.230427142,2014
80,Tipton,131.0,34.933333333,2014
81,Union,78.0,43.213296399,2014
82,Vanderburgh,1894.0,41.840634458,2014
83,Vermillion,153.0,43.826983672,2014
84,Vigo,1253.0,42.447237373,2014
85,Wabash,315.0,34.714569099,2014
86,Warren,68.0,33.847685416,2014
87,Warrick,355.0,26.478705154,2014
88,Washington,294.0,42.701525054,2014
89,Wayne,826.0,50.10007885,2014
90,Wells,180.0,26.113448426,2014
91,White,263.0,45.954918749,2014
92,Whitley,235.0,30.771245253,2014
93,,,,2014
94,,,,2014
0,,66282.0,41.255272679,2013
1,Adams,285.0,31.21577218,2013
2,Allen,3827.0,43.755144974,2013
3,Bartholomew,938.0,53.627579898,2013
4,Benton,78.0,36.465638149,2013
5,Blackford,151.0,50.910316925,2013
6,Boone,303.0,23.404912714,2013
7,Brown,77.0,21.813031161,2013
8,Carroll,134.0,28.051078082,2013
9,Cass,436.0,47.906823426,2013
10,Clark,1101.0,48.609271523,2013
11,Clay,285.0,42.824943651,2013
12,Clinton,437.0,53.33821555,2013
13,Crawford,118.0,43.175997073,2013
14,Daviess,359.0,46.811839875,2013
15,Dearborn,433.0,35.948526359,2013
16,Decatur,272.0,48.304031256,2013
17,DeKalb,469.0,45.720413336,2013
18,Delaware,1045.0,25.39242844,2013
19,Dubois,309.0,31.196365472,2013
20,Elkhart,2851.0,57.604105631,2013
21,Fayette,339.0,61.004138924,2013
22,Floyd,714.0,39.552404166,2013
23,Fountain,198.0,48.900963201,2013
24,Franklin,182.0,31.047424087,2013
25,Fulton,244.0,52.237208307,2013
26,Gibson,301.0,38.594691627,2013
27,Grant,909.0,41.61897349,2013
28,Greene,354.0,46.856386499,2013
29,Hamilton,855.0,15.462239583,2013
30,Hancock,450.0,29.067889671,2013
31,Harrison,301.0,34.161843151,2013
32,Hendricks,675.0,21.25649504,2013
33,Henry,460.0,40.809084457,2013
34,Howard,940.0,48.596391459,2013
35,Huntington,297.0,29.376854599,2013
36,Jackson,551.0,57.945104638,2013
37,Jasper,295.0,34.587876656,2013
38,Jay,239.0,44.556301268,2013
39,Jefferson,329.0,37.024532973,2013
40,Jennings,486.0,68.74115983,2013
41,Johnson,1107.0,34.507481297,2013
42,Knox,438.0,41.998274044,2013
43,Kosciusko,803.0,41.809851088,2013
44,LaGrange,274.0,26.358826359,2013
45,Lake,5436.0,44.90743418,2013
46,LaPorte,1174.0,48.965632299,2013
47,Lawrence,503.0,51.076360682,2013
48,Madison,1486.0,48.315775784,2013
49,Marion,12736.0,59.936374075,2013
50,Marshall,440.0,37.99326483,2013
51,Martin,107.0,45.319779754,2013
52,Miami,392.0,46.210067193,2013
53,Monroe,700.0,13.094881772,2013
54,Montgomery,450.0,50.499382785,2013
55,Morgan,660.0,39.718360715,2013
56,Newton,122.0,34.221598878,2013
57,Noble,573.0,49.563186576,2013
58,Ohio,42.0,30.634573304,2013
59,Orange,205.0,42.33787691,2013
60,Owen,250.0,44.835007174,2013
61,Parke,153.0,37.880663531,2013
62,Perry,195.0,48.171936759,2013
63,Pike,127.0,43.778007584,2013
64,Porter,917.0,22.452377455,2013
65,Posey,177.0,27.12228011,2013
66,Pulaski,140.0,41.928721174,2013
67,Putnam,350.0,31.236055332,2013
68,Randolph,293.0,46.471054718,2013
69,Ripley,288.0,40.747028862,2013
70,Rush,196.0,45.026418562,2013
71,St. Joseph,3012.0,40.842893174,2013
72,Scott,345.0,63.059769695,2013
73,Shelby,465.0,45.211473019,2013
74,Spencer,164.0,31.919034644,2013
75,Starke,310.0,51.649450183,2013
76,Steuben,366.0,40.898424405,2013
77,Sullivan,214.0,47.896150403,2013
78,Switzerland,88.0,36.408771204,2013
79,Tippecanoe,1403.0,25.308463814,2013
80,Tipton,146.0,38.69599788,2013
81,Union,84.0,45.801526718,2013
82,Vanderburgh,1943.0,42.623670067,2013
83,Vermillion,154.0,43.962318013,2013
84,Vigo,1249.0,42.409425826,2013
85,Wabash,321.0,34.8647768,2013
86,Warren,64.0,32.032032032,2013
87,Warrick,357.0,26.823953716,2013
88,Washington,295.0,42.53171857,2013
89,Wayne,872.0,51.766102701,2013
90,Wells,169.0,24.274633726,2013
91,White,260.0,44.73503097,2013
92,Whitley,240.0,31.6580926,2013
0,,67062.0,43.9,2012
1,Adams,295.0,33.2,2012
2,Allen,3875.0,46.7,2012
3,Bartholomew,944.0,58.0,2012
4,Benton,87.0,40.6,2012
5,Blackford,160.0,57.9,2012
6,Boone,324.0,26.8,2012
7,Brown,68.0,20.8,2012
8,Carroll,140.0,30.8,2012
9,Cass,450.0,53.4,2012
10,Clark,1052.0,50.4,2012
11,Clay,298.0,46.3,2012
12,Clinton,458.0,58.1,2012
13,Crawford,122.0,47.5,2012
14,Daviess,363.0,48.5,2012
15,Dearborn,451.0,36.6,2012
16,Decatur,277.0,52.5,2012
17,DeKalb,474.0,48.8,2012
18,Delaware,1054.0,28.2,2012
19,Dubois,310.0,32.1,2012
20,Elkhart,2846.0,61.3,2012
21,Fayette,307.0,60.1,2012
22,Floyd,693.0,40.0,2012
23,Fountain,182.0,46.9,2012
24,Franklin,199.0,35.1,2012
25,Fulton,230.0,50.5,2012
26,Gibson,278.0,37.7,2012
27,Grant,936.0,44.9,2012
28,Greene,369.0,48.9,2012
29,Hamilton,857.0,15.6,2012
30,Hancock,466.0,33.7,2012
31,Harrison,312.0,36.2,2012
32,Hendricks,665.0,22.7,2012
33,Henry,442.0,42.9,2012
34,Howard,995.0,55.2,2012
35,Huntington,306.0,30.4,2012
36,Jackson,574.0,65.2,2012
37,Jasper,301.0,36.4,2012
38,Jay,235.0,48.3,2012
39,Jefferson,321.0,38.1,2012
40,Jennings,463.0,73.1,2012
41,Johnson,1057.0,34.2,2012
42,Knox,422.0,41.4,2012
43,Kosciusko,820.0,46.5,2012
44,LaGrange,304.0,32.4,2012
45,Lake,5466.0,45.9,2012
46,LaPorte,1212.0,52.0,2012
47,Lawrence,498.0,52.2,2012
48,Madison,1494.0,51.4,2012
49,Marion,13096.0,66.8,2012
50,Marshall,458.0,41.8,2012
51,Martin,114.0,48.8,2012
52,Miami,388.0,47.3,2012
53,Monroe,702.0,14.2,2012
54,Montgomery,452.0,55.2,2012
55,Morgan,680.0,41.8,2012
56,Newton,113.0,33.7,2012
57,Noble,582.0,51.5,2012
58,Ohio,55.0,41.0,2012
59,Orange,216.0,48.9,2012
60,Owen,257.0,45.3,2012
61,Parke,149.0,38.7,2012
62,Perry,195.0,49.8,2012
63,Pike,115.0,43.2,2012
64,Porter,937.0,23.5,2012
65,Posey,186.0,26.7,2012
66,Pulaski,139.0,41.8,2012
67,Putnam,365.0,35.2,2012
68,Randolph,292.0,51.4,2012
69,Ripley,283.0,44.1,2012
70,Rush,217.0,51.5,2012
71,St. Joseph,3099.0,41.5,2012
72,Scott,341.0,67.5,2012
73,Shelby,486.0,47.7,2012
74,Spencer,159.0,31.8,2012
75,Starke,319.0,56.6,2012
76,Steuben,372.0,46.0,2012
77,Sullivan,210.0,47.4,2012
78,Switzerland,93.0,40.8,2012
79,Tippecanoe,1322.0,26.4,2012
80,Tipton,150.0,41.4,2012
81,Union,80.0,47.3,2012
82,Vanderburgh,1980.0,44.8,2012
83,Vermillion,132.0,38.1,2012
84,Vigo,1206.0,43.9,2012
85,Wabash,346.0,38.1,2012
86,Warren,58.0,30.1,2012
87,Warrick,377.0,27.9,2012
88,Washington,300.0,46.5,2012
89,Wayne,908.0,55.9,2012
90,Wells,176.0,26.4,2012
91,White,252.0,46.0,2012
92,Whitley,253.0,34.3,2012
93,,,,2012
94,,,,2012
0,,67564.0,44.7,2011
1,Adams,301.0,34.2,2011
2,Allen,3908.0,47.5,2011
3,Bartholomew,935.0,59.2,2011
4,Benton,86.0,40.5,2011
5,Blackford,171.0,65.7,2011
6,Boone,312.0,27.2,2011
7,Brown,64.0,20.2,2011
8,Carroll,142.0,32.1,2011
9,Cass,467.0,57.3,2011
10,Clark,1057.0,51.9,2011
11,Clay,303.0,47.2,2011
12,Clinton,468.0,62.4,2011
13,Crawford,118.0,46.1,2011
14,Daviess,355.0,47.9,2011
15,Dearborn,449.0,36.4,2011
16,Decatur,287.0,56.0,2011
17,DeKalb,487.0,51.1,2011
18,Delaware,1083.0,28.3,2011
19,Dubois,311.0,33.1,2011
20,Elkhart,2801.0,62.8,2011
21,Fayette,303.0,60.5,2011
22,Floyd,674.0,38.7,2011
23,Fountain,182.0,48.2,2011
24,Franklin,211.0,38.1,2011
25,Fulton,218.0,49.5,2011
26,Gibson,299.0,41.5,2011
27,Grant,929.0,45.0,2011
28,Greene,379.0,50.1,2011
29,Hamilton,815.0,16.0,2011
30,Hancock,463.0,35.7,2011
31,Harrison,337.0,38.6,2011
32,Hendricks,649.0,23.5,2011
33,Henry,453.0,44.7,2011
34,Howard,998.0,56.8,2011
35,Huntington,320.0,31.5,2011
36,Jackson,566.0,66.0,2011
37,Jasper,289.0,36.6,2011
38,Jay,238.0,49.7,2011
39,Jefferson,313.0,37.2,2011
40,Jennings,474.0,78.7,2011
41,Johnson,1011.0,33.8,2011
42,Knox,437.0,40.8,2011
43,Kosciusko,834.0,48.3,2011
44,LaGrange,318.0,35.0,2011
45,Lake,5583.0,46.9,2011
46,LaPorte,1229.0,53.8,2011
47,Lawrence,522.0,56.4,2011
48,Madison,1480.0,51.3,2011
49,Marion,13152.0,68.3,2011
50,Marshall,477.0,44.2,2011
51,Martin,116.0,48.6,2011
52,Miami,405.0,49.6,2011
53,Monroe,699.0,13.4,2011
54,Montgomery,452.0,58.9,2011
55,Morgan,674.0,42.4,2011
56,Newton,119.0,36.7,2011
57,Noble,623.0,56.3,2011
58,Ohio,65.0,50.9,2011
59,Orange,231.0,53.9,2011
60,Owen,267.0,49.3,2011
61,Parke,152.0,39.8,2011
